task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
68,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 6050}","{""calendar_list_events"": 1817.3375129699707, ""database_query_db"": 1817.3375129699707, ""calendar_create_event"": 8650.21824836731}",8712,7,True
69,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 8193}","{""calendar_list_events"": 2481.2986850738525, ""database_query_db"": 2481.2986850738525, ""calendar_create_event"": 21135.743141174316}",11095,11,True
70,"Run code to parse a CSV export, execute a validation script, and send an email with the results",medium,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output"", ""email_send_email""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""email_send_email""]]","{""filesystem_read_file"": 814, ""code_run_code"": 1023, ""code_get_output"": 1073, ""email_send_email"": 1150}","{""filesystem_read_file"": 947.2672939300537, ""code_run_code"": 10849.159717559814, ""code_get_output"": 1408.7977409362793, ""email_send_email"": 934.6275329589844}",5279,4,True
71,"Read the quarterly metrics file, run a full statistical analysis, and generate an executive report f",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 815, ""analytics_run_analysis"": 877, ""analytics_generate_report"": 970}","{""filesystem_read_file"": 988.7025356292725, ""analytics_run_analysis"": 1276.592493057251, ""analytics_generate_report"": 1786.9584560394287}",3791,3,True
72,"Read a batch of log files, run code-free trend analysis across them, and write a consolidated report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 812, ""analytics_run_analysis"": 871, ""analytics_generate_report"": 964, ""filesystem_write_file"": 1108}","{""filesystem_read_file"": 1061.1991882324219, ""analytics_run_analysis"": 1009.4878673553467, ""analytics_generate_report"": 1134.2732906341553, ""filesystem_write_file"": 2454.174041748047}",4990,4,True
73,"Query the transactions database for entries older than 90 days, create calendar events for the revie",medium,"[""database_query_db"", ""calendar_list_events"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""database_query_db"": 834, ""calendar_list_events"": 905, ""calendar_create_event"": 1098}","{""database_query_db"": 1058.3164691925049, ""calendar_list_events"": 1224.951982498169, ""calendar_create_event"": 7561.328887939453}",4256,5,True
74,"Query the transactions database for entries older than 90 days, create calendar events for the revie",medium,"[""database_query_db"", ""calendar_list_events"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""database_query_db"": 834, ""calendar_list_events"": 905, ""calendar_create_event"": 1101}","{""database_query_db"": 1156.9702625274658, ""calendar_list_events"": 1258.2931518554688, ""calendar_create_event"": 7816.200256347656}",4266,5,True
75,"Fetch API documentation from the web, run code to test an endpoint, and send an email to the develop",medium,"[""websearch_search_web"", ""code_run_code"", ""email_read_inbox"", ""email_send_email""]","[[""websearch_search_web"", ""code_run_code""], [""code_run_code"", ""email_read_inbox""], [""email_read_inbox"", ""email_send_email""]]","{""websearch_search_web"": 296, ""code_run_code"": 296, ""email_read_inbox"": 296, ""email_send_email"": 1072}","{""websearch_search_web"": 1686.4397525787354, ""code_run_code"": 1686.4397525787354, ""email_read_inbox"": 1686.4397525787354, ""email_send_email"": 1830.5847644805908}",3117,4,True
76,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 867, ""analytics_generate_report"": 954}","{""filesystem_read_file"": 935.4000091552734, ""analytics_run_analysis"": 2412.6386642456055, ""analytics_generate_report"": 1022.7236747741699}",3744,3,True
77,"Read the config history file, run an analysis of setting changes over time, and generate a change re",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 810, ""analytics_run_analysis"": 868, ""analytics_generate_report"": 952}","{""filesystem_read_file"": 1220.3927040100098, ""analytics_run_analysis"": 1134.124517440796, ""analytics_generate_report"": 1086.613416671753}",3751,3,True
78,"Query the compliance database for expiring certifications, create calendar reminders for each renewa",medium,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""]]","{""database_query_db"": 835, ""calendar_create_event"": 999, ""calendar_list_events"": 1160}","{""database_query_db"": 1041.9468879699707, ""calendar_create_event"": 6346.61078453064, ""calendar_list_events"": 1463.5834693908691}",4361,5,True
79,"Query the compliance database for expiring certifications, create calendar reminders for each renewa",medium,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""]]","{""database_query_db"": 842, ""calendar_create_event"": 1957, ""calendar_list_events"": 1174}","{""database_query_db"": 1139.91117477417, ""calendar_create_event"": 4188.498973846436, ""calendar_list_events"": 993.1766986846924}",5384,5,True
80,"Fetch API documentation from the web, run code to test an endpoint, and send an email to the develop",medium,"[""websearch_search_web"", ""code_run_code"", ""email_read_inbox"", ""code_get_output"", ""email_send_email""]","[[""websearch_search_web"", ""code_run_code""], [""code_run_code"", ""email_read_inbox""], [""email_read_inbox"", ""code_get_output""], [""code_get_output"", ""email_send_email""]]","{""websearch_search_web"": 297, ""code_run_code"": 297, ""email_read_inbox"": 297, ""code_get_output"": 1001, ""email_send_email"": 1146}","{""websearch_search_web"": 1637.8169059753418, ""code_run_code"": 1637.8169059753418, ""email_read_inbox"": 1637.8169059753418, ""code_get_output"": 2605.597734451294, ""email_send_email"": 3015.805244445801}",4315,5,True
81,"Read the config history file, run an analysis of setting changes over time, and generate a change re",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 814, ""analytics_run_analysis"": 872, ""analytics_generate_report"": 962}","{""filesystem_read_file"": 1182.1463108062744, ""analytics_run_analysis"": 1253.746509552002, ""analytics_generate_report"": 1179.692029953003}",3789,3,True
82,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 867, ""analytics_generate_report"": 962}","{""filesystem_read_file"": 843.7128067016602, ""analytics_run_analysis"": 1488.9163970947266, ""analytics_generate_report"": 1199.4407176971436}",3733,3,True
83,"Query the transactions database for entries older than 90 days, create calendar events for the revie",medium,"[""database_query_db"", ""calendar_list_events"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""database_query_db"": 834, ""calendar_list_events"": 905, ""calendar_create_event"": 1098}","{""database_query_db"": 1180.2423000335693, ""calendar_list_events"": 1102.829933166504, ""calendar_create_event"": 7306.350946426392}",4255,5,True
84,"Query the compliance database for expiring certifications, create calendar reminders for each renewa",medium,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""]]","{""database_query_db"": 837, ""calendar_create_event"": 1002, ""calendar_list_events"": 1163}","{""database_query_db"": 1166.7845249176025, ""calendar_create_event"": 5715.340375900269, ""calendar_list_events"": 1181.1096668243408}",4406,5,True
85,"Run code to parse a CSV export, execute a validation script, and send an email with the results",medium,"[""code_run_code"", ""code_get_output"", ""email_send_email""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""email_send_email""]]","{""code_run_code"": 941, ""code_get_output"": 991, ""email_send_email"": 1072}","{""code_run_code"": 2359.0428829193115, ""code_get_output"": 1587.984323501587, ""email_send_email"": 979.5122146606445}",4137,3,True
86,"Read the config history file, run an analysis of setting changes over time, and generate a change re",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 810, ""analytics_run_analysis"": 868, ""analytics_generate_report"": 956}","{""filesystem_read_file"": 967.0538902282715, ""analytics_run_analysis"": 1673.922061920166, ""analytics_generate_report"": 1110.1572513580322}",3737,3,True
87,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 867, ""analytics_generate_report"": 954}","{""filesystem_read_file"": 846.637487411499, ""analytics_run_analysis"": 1134.9573135375977, ""analytics_generate_report"": 1222.2795486450195}",3748,3,True
88,"List next week's calendar events, query the database for related project records, and create a follo",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""]]","{""calendar_list_events"": 449, ""database_query_db"": 449, ""calendar_create_event"": 1026}","{""calendar_list_events"": 1555.7701587677002, ""database_query_db"": 1555.7701587677002, ""calendar_create_event"": 1393.0096626281738}",3116,3,True
89,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 443, ""database_query_db"": 443, ""calendar_create_event"": 3658}","{""calendar_list_events"": 1914.6966934204102, ""database_query_db"": 1914.6966934204102, ""calendar_create_event"": 9496.36435508728}",6264,7,True
90,"Search for ML best practices, fetch two paper URLs, and embed the findings for the vector index",medium,"[""websearch_search_web"", ""websearch_fetch_url"", ""websearch_fetch_url"", ""vector_embed_query"", ""vector_embed_query""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""]]","{""websearch_search_web"": 809, ""websearch_fetch_url"": 900, ""vector_embed_query"": 1056}","{""websearch_search_web"": 817.7216053009033, ""websearch_fetch_url"": 2288.2237434387207, ""vector_embed_query"": 3601.9725799560547}",4045,5,True
91,"Read the quarterly metrics file, run a full statistical analysis, and generate an executive report f",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 815, ""analytics_run_analysis"": 873, ""analytics_generate_report"": 968}","{""filesystem_read_file"": 846.076488494873, ""analytics_run_analysis"": 989.8226261138916, ""analytics_generate_report"": 1249.5942115783691}",3866,3,True
92,"Read a batch of log files, run code-free trend analysis across them, and write a consolidated report",medium,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""code_run_code"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 1723, ""code_run_code"": 1092, ""analytics_generate_report"": 1148, ""filesystem_write_file"": 1289}","{""filesystem_read_file"": 3501.5366077423096, ""code_run_code"": 1610.854148864746, ""analytics_generate_report"": 813.8329982757568, ""filesystem_write_file"": 1911.3132953643799}",6691,6,True
93,"Query the transactions database for entries older than 90 days, create calendar events for the revie",medium,"[""database_query_db"", ""calendar_list_events"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""database_query_db"": 833, ""calendar_list_events"": 904, ""calendar_create_event"": 1098}","{""database_query_db"": 1051.1186122894287, ""calendar_list_events"": 1042.8476333618164, ""calendar_create_event"": 6822.373151779175}",4245,5,True
94,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 446, ""database_query_db"": 446, ""calendar_create_event"": 6020}","{""calendar_list_events"": 1558.2995414733887, ""database_query_db"": 1558.2995414733887, ""calendar_create_event"": 5859.257459640503}",8542,7,True
95,"Search for ML best practices, fetch two paper URLs, and embed the findings for the vector index",medium,"[""websearch_search_web"", ""websearch_fetch_url"", ""websearch_fetch_url"", ""vector_embed_query"", ""vector_embed_query""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""]]","{""websearch_search_web"": 810, ""websearch_fetch_url"": 910, ""vector_embed_query"": 1076}","{""websearch_search_web"": 775.6772041320801, ""websearch_fetch_url"": 3430.778980255127, ""vector_embed_query"": 3546.2746620178223}",4088,5,True
96,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 865, ""analytics_generate_report"": 954}","{""filesystem_read_file"": 965.3000831604004, ""analytics_run_analysis"": 937.1170997619629, ""analytics_generate_report"": 1522.0582485198975}",3730,3,True
97,"Read the quarterly metrics file, run a full statistical analysis, and generate an executive report f",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 811, ""analytics_run_analysis"": 870, ""analytics_generate_report"": 963}","{""filesystem_read_file"": 879.8696994781494, ""analytics_run_analysis"": 847.7997779846191, ""analytics_generate_report"": 1285.7649326324463}",3765,3,True
98,"Query the transactions database for entries older than 90 days, create calendar events for the revie",medium,"[""database_query_db"", ""calendar_list_events"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""database_query_db"": 834, ""calendar_list_events"": 905, ""calendar_create_event"": 1086}","{""database_query_db"": 1423.6371517181396, ""calendar_list_events"": 1176.04398727417, ""calendar_create_event"": 5501.327276229858}",4213,5,True
99,"Query the compliance database for expiring certifications, create calendar reminders for each renewa",medium,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""]]","{""database_query_db"": 833, ""calendar_create_event"": 996, ""calendar_list_events"": 1158}","{""database_query_db"": 952.6116847991943, ""calendar_create_event"": 5762.033700942993, ""calendar_list_events"": 1204.939842224121}",4332,5,True
100,"Fetch API documentation from the web, run code to test an endpoint, and send an email to the develop",medium,"[""websearch_search_web"", ""code_run_code"", ""email_send_email""]","[[""websearch_search_web"", ""code_run_code""], [""code_run_code"", ""email_send_email""]]","{""websearch_search_web"": 326, ""code_run_code"": 326, ""email_send_email"": 326}","{""websearch_search_web"": 2321.223497390747, ""code_run_code"": 2321.223497390747, ""email_send_email"": 2321.223497390747}",2178,3,True
101,"Read the full year of sales files, run a multi-part trend and variance analysis, generate a board-le",complex,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 828, ""analytics_run_analysis"": 922, ""analytics_generate_report"": 1075, ""filesystem_write_file"": 1266}","{""filesystem_read_file"": 829.3716907501221, ""analytics_run_analysis"": 3016.937255859375, ""analytics_generate_report"": 1498.7761974334717, ""filesystem_write_file"": 2449.012041091919}",5470,5,True
102,"Read the full year of sales files, run a multi-part trend and variance analysis, generate a board-le",complex,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 831, ""analytics_run_analysis"": 928, ""analytics_generate_report"": 1081, ""filesystem_write_file"": 1265}","{""filesystem_read_file"": 1132.936954498291, ""analytics_run_analysis"": 2621.243476867676, ""analytics_generate_report"": 1424.0257740020752, ""filesystem_write_file"": 2328.0694484710693}",5454,5,True
103,"Query the customer database for accounts up for renewal, create calendar events for each renewal cal",complex,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events"", ""database_insert_record"", ""database_insert_record"", ""database_insert_record""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""], [""calendar_list_events"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""]]","{""database_query_db"": 844, ""calendar_create_event"": 1017, ""calendar_list_events"": 1188, ""database_insert_record"": 1362}","{""database_query_db"": 934.668779373169, ""calendar_create_event"": 7310.533046722412, ""calendar_list_events"": 1462.7885818481445, ""database_insert_record"": 5213.626384735107}",6085,8,True
104,"Query the compliance database for all expired records, query the incidents database separately for u",complex,"[""database_query_db"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events""]","[[""database_query_db"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""]]","{""database_query_db"": 880, ""calendar_create_event"": 1077, ""calendar_list_events"": 1246}","{""database_query_db"": 3461.3327980041504, ""calendar_create_event"": 6091.752290725708, ""calendar_list_events"": 947.4990367889404}",4708,6,True
105,"Run a full content workflow: search the web for citation sources, fetch and embed the source pages, ",complex,[],[],{},{},929,0,True
106,"Read every config file in the deployment set, run a comprehensive drift analysis across them, genera",complex,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_read_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_read_file""]]","{""filesystem_read_file"": 2962, ""analytics_run_analysis"": 1066, ""analytics_generate_report"": 1153}","{""filesystem_read_file"": 7340.238571166992, ""analytics_run_analysis"": 1095.8118438720703, ""analytics_generate_report"": 1132.8425407409668}",6609,7,True
107,"Read every config file in the deployment set, run a comprehensive drift analysis across them, genera",complex,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_read_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_read_file""]]","{""filesystem_read_file"": 2905, ""analytics_run_analysis"": 1009, ""analytics_generate_report"": 1103}","{""filesystem_read_file"": 5073.815584182739, ""analytics_run_analysis"": 2055.5243492126465, ""analytics_generate_report"": 1283.7269306182861}",6331,6,True
108,"Query the audit database for flagged transactions, create calendar events for each required review m",complex,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events"", ""database_insert_record""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""], [""calendar_list_events"", ""database_insert_record""]]","{""database_query_db"": 834, ""calendar_create_event"": 1005, ""calendar_list_events"": 1171, ""database_insert_record"": 1345}","{""database_query_db"": 909.2557430267334, ""calendar_create_event"": 6810.343980789185, ""calendar_list_events"": 1171.468734741211, ""database_insert_record"": 2030.3905010223389}",5922,6,True
109,"Query the audit database for flagged transactions, create calendar events for each required review m",complex,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events"", ""database_insert_record""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""], [""calendar_list_events"", ""database_insert_record""]]","{""database_query_db"": 834, ""calendar_create_event"": 996, ""calendar_list_events"": 1153, ""database_insert_record"": 1259}","{""database_query_db"": 882.7400207519531, ""calendar_create_event"": 8040.287017822266, ""calendar_list_events"": 1232.3153018951416, ""database_insert_record"": 1231.1813831329346}",5646,6,True
110,"Run a full content workflow: search the web for citation sources, fetch and embed the source pages, ",complex,[],[],{},{},899,0,True
111,"Read all quarterly financial files, run a full statistical analysis reconciling them, generate a det",complex,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_read_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_read_file""]]","{""filesystem_read_file"": 2966, ""analytics_run_analysis"": 1059, ""analytics_generate_report"": 1153}","{""filesystem_read_file"": 6602.175712585449, ""analytics_run_analysis"": 2530.8871269226074, ""analytics_generate_report"": 4449.88226890564}",6574,7,True
112,"Read all quarterly financial files, run a full statistical analysis reconciling them, generate a det",complex,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_read_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_read_file""]]","{""filesystem_read_file"": 2982, ""analytics_run_analysis"": 1063, ""analytics_generate_report"": 1151}","{""filesystem_read_file"": 7120.959997177124, ""analytics_run_analysis"": 1101.7882823944092, ""analytics_generate_report"": 1178.0693531036377}",6556,7,True
113,"Query the customer database for accounts up for renewal, create calendar events for each renewal cal",complex,"[""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_list_events"", ""database_insert_record"", ""database_insert_record"", ""database_insert_record""]","[[""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_list_events""], [""calendar_list_events"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""]]","{""database_query_db"": 852, ""calendar_create_event"": 1023, ""calendar_list_events"": 1190, ""database_insert_record"": 1380}","{""database_query_db"": 1217.1847820281982, ""calendar_create_event"": 5829.762697219849, ""calendar_list_events"": 997.2522258758545, ""database_insert_record"": 7191.765546798706}",6118,8,True
